word	pronunciation
զահմաթ	z ɑ h ˈ m ɑ t ʰ
զահմեթ	z ɑ h ˈ m e t ʰ
զաղար	z ɑ ˈ ʁ ɑ ɾ
Զամբիա	ˈ z ɑ m b i ɑ
զամբիկ	z ɑ m ˈ b i k
զամբյուղ	z ɑ m ˈ b j u ʁ
զայրանալ	z ɑ j ɾ ɑ ˈ n ɑ l
զայրույթ	z ɑ j ˈ ɾ u j t ʰ
զայրուց	z ɑ j ˈ ɾ u t ͡ s ʰ
զայրուցք	z ɑ j ˈ ɾ u t ͡ s ʰ k ʰ
զանազան	z ɑ n ɑ ˈ z ɑ n
զանավեսկա	z ɑ n ɑ v e s ˈ k ɑ
զանգ	z ɑ n ɡ
զանգակ	z ɑ n ˈ ɡ ɑ k
զանգակածաղիկ	z ɑ n ɡ ɑ k ɑ t ͡ s ɑ ˈ ʁ i k
զանգակատուն	z ɑ n ɡ ɑ k ɑ ˈ t u n
զանգահարել	z ɑ n ɡ ɑ h ɑ ˈ ɾ e l
զանգապան	z ɑ n ɡ ɑ ˈ p ɑ n
զանգել	z ɑ n ˈ ɡ e l
Զանգի	z ɑ n ˈ ɡ i
զանգված	z ɑ n ɡ ˈ v ɑ t ͡ s
զանգվածային	z ɑ n ɡ v ɑ t ͡ s ɑ ˈ j i n
զանգվածային ոչնչացման զենք	z ɑ n ɡ v ɑ t ͡ s ɑ ˈ j i n   o t ͡ ʃ ʰ ə n t ͡ ʃ ʰ ɑ t ͡ s ʰ ˈ m ɑ n   z e n k ʰ
զանկապան	z ɑ n k ɑ ˈ p ɑ n
զանջաֆիլ	z ɑ n d ͡ ʒ ɑ ˈ f i l
Զապորոժիե	z ɑ p o ˈ ɾ o ʒ i e
զառ	z ɑ r
զառամ	z ɑ ˈ r ɑ m
զառամանալ	z ɑ r ɑ m ɑ ˈ n ɑ l
զառամել	z ɑ r ɑ ˈ m e l
զառամյալ	z ɑ r ɑ ˈ m j ɑ l
զառանցանք	z ɑ r ɑ n ˈ t ͡ s ʰ ɑ n k ʰ
զառանցել	z ɑ r ɑ n ˈ t ͡ s ʰ e l
զառիկ	z ɑ ˈ r i k
զառիվեր	z ɑ r i ˈ v e ɾ
զավակ	z ɑ ˈ v ɑ k
Զավեն	z ɑ ˈ v e n
զավեշտ	z ɑ ˈ v e ʃ t
զավեշտական	z ɑ v e ʃ t ɑ ˈ k ɑ n
զավեշտային	z ɑ v e ʃ t ɑ ˈ j i n
Զավզավաթճյան	z ɑ v z ɑ v ɑ t ʰ ˈ t ͡ ʃ j ɑ n
զավթել	z ɑ f ˈ t ʰ e l
զավթիչ	z ɑ f ˈ t ʰ i t ͡ ʃ ʰ
զավոդ	z ɑ ˈ v o d
զավտռիկ	z ɑ f t ˈ r i k
զավտրըկ	ˈ z ɑ f t ɾ ə k
զավտրիկ	z ɑ f t ˈ ɾ i k
զատ	z ɑ t
զատել	z ɑ ˈ t e l
զատիկ	z ɑ ˈ t i k
զարար	z ɑ ˈ ɾ ɑ ɾ
զարբաբ	z ɑ ɾ ˈ b ɑ b
զարգանալ	z ɑ ɾ ɡ ɑ ˈ n ɑ l
զարգացում	z ɑ ɾ ɡ ɑ ˈ t ͡ s ʰ u m
զարդ	z ɑ ɾ t ʰ
զարդասեղ	z ɑ ɾ t ʰ ɑ ˈ s e ʁ
զարդասեղան	z ɑ ɾ t ʰ ɑ s e ˈ ʁ ɑ n
զարդարանք	z ɑ ɾ t ʰ ɑ ˈ ɾ ɑ n k ʰ
զարդարել	z ɑ ɾ t ʰ ɑ ˈ ɾ e l
Զարդարյան	z ɑ ɾ t ʰ ɑ ˈ ɾ j ɑ n
զարդարուն	z ɑ ɾ t ʰ ɑ ˈ ɾ u n
զարդենի	z ɑ ɾ t ʰ e ˈ n i
Զարեհ	z ɑ ˈ ɾ e h
զարթնել	z ɑ ɾ t ʰ ˈ n e l
զարթոնք	z ɑ ɾ ˈ t ʰ o n k ʰ
զարթուցիչ	z ɑ ɾ t ʰ u ˈ t ͡ s ʰ i t ͡ ʃ ʰ
զարկ	z ɑ ɾ k
զարկել	z ɑ ɾ ˈ k e l
զարկերակ	z ɑ ɾ k e ˈ ɾ ɑ k
զարհուր	z ɑ ɾ ˈ h u ɾ
զարհուրաբեր	z ɑ ɾ h u ɾ ɑ ˈ b e ɾ
զարհուրագին	z ɑ ɾ h u ɾ ɑ ˈ ɡ i n
զարհուրադեմ	z ɑ ɾ h u ɾ ɑ ˈ d e m
զարհուրական	z ɑ ɾ h u ɾ ɑ ˈ k ɑ n
զարհուրաձայն	z ɑ ɾ h u ɾ ɑ ˈ d ͡ z ɑ j n
զարհուրանք	z ɑ ɾ h u ˈ ɾ ɑ n k ʰ
զարհուրատես	z ɑ ɾ h u ɾ ɑ ˈ t e s
զարհուրատեսք	z ɑ ɾ h u ɾ ɑ ˈ t e s k ʰ
զարհուրել	z ɑ ɾ h u ˈ ɾ e l
զարհուրելի	z ɑ ɾ h u ɾ e ˈ l i
զարհուրեցնել	z ɑ ɾ h u ɾ e t ͡ s ʰ ˈ n e l
զարհուրեցնող	z ɑ ɾ h u ɾ e t ͡ s ʰ ˈ n o ʁ
զարհուրեցուցիչ	z ɑ ɾ h u ɾ e t ͡ s ʰ u ˈ t ͡ s ʰ i t ͡ ʃ ʰ
զարհուրիկ	z ɑ ɾ h u ˈ ɾ i k
զարհուրկոտ	z ɑ ɾ h u ɾ ˈ k o t
զարհուրյալ	z ɑ ɾ h u ˈ ɾ j ɑ l
զարհուրում	z ɑ ɾ h u ˈ ɾ u m
զարմ	z ɑ ɾ m
զարմանալ	z ɑ ɾ m ɑ ˈ n ɑ l
զարմանալի	z ɑ ɾ m ɑ n ɑ ˈ l i
Զարմանյան	z ɑ ɾ m ɑ ˈ n j ɑ n
զարմանք	z ɑ ɾ ˈ m ɑ n k ʰ
զարմացած	z ɑ ɾ m ɑ ˈ t ͡ s ʰ ɑ t ͡ s
զարմացնել	z ɑ ɾ m ɑ t ͡ s ʰ ˈ n e l
զարմիկ	z ɑ ɾ ˈ m i k
զարմուհի	z ɑ ɾ m u ˈ h i
զարնել	z ɑ ɾ ˈ n e l
Զարուհի	z ɑ ɾ u ˈ h i
Զաքարիա	z ɑ k ʰ ɑ ɾ i ˈ ɑ
Զաքարյան	z ɑ k ʰ ɑ ˈ ɾ j ɑ n
զաֆրան	z ɑ f ˈ ɾ ɑ n
զբաղեցնել	z b ɑ ʁ e t ͡ s ʰ ˈ n e l
զբաղվել	z b ɑ ʁ ˈ v e l
զբոսախնջույք	z b o s ɑ χ ə n ˈ d ͡ ʒ u j k ʰ
զբոսանավ	z b o s ɑ ˈ n ɑ v
զբոսանք	z b o ˈ s ɑ n k ʰ
զբոսաշրջիկ	z b o s ɑ ʃ ə ɾ ˈ d ͡ ʒ i k
զբոսաշրջություն	z b o s ɑ ʃ ə ɾ d ͡ ʒ u ˈ t ʰ j u n
զբոսարշավ	z b o s ɑ ɾ ˈ ʃ ɑ v
զբոսնել	z b o s ˈ n e l
զգալ	z ɡ ɑ l
զգածվել	z ɡ ɑ t ͡ s ˈ v e l
զգայապատրանք	z ɡ ɑ j ɑ p ɑ t ˈ ɾ ɑ n k ʰ
զգայարան	z ɡ ɑ j ɑ ˈ ɾ ɑ n
զգայռում	z ɡ ɑ j ˈ r u m
զգաստ	z ɡ ɑ s t
զգաստամիտ	z ɡ ɑ s t ɑ ˈ m i t
զգաստություն	z ɡ ɑ s t u ˈ t ʰ j u n
զգացմունք	z ɡ ɑ t ͡ s ʰ ˈ m u n k ʰ
զգացվել	z ɡ ɑ t ͡ s ʰ ˈ v e l
զգացում	z ɡ ɑ ˈ t ͡ s ʰ u m
զգենալ	z ɡ e ˈ n ɑ l
զգեստ	z ɡ e s t
զգեստապահարան	z ɡ e s t ɑ p ɑ h ɑ ˈ ɾ ɑ n
զգետնել	z ɡ e t ˈ n e l
զգոյշ	z ɡ u j ʃ
զգոն	z ɡ o n
զգոնություն	z ɡ o n u ˈ t ʰ j u n
զգույշ	z ɡ u j ʃ
զգուշ	z ɡ u ʃ
զգուշանալ	z ɡ u ʃ ɑ ˈ n ɑ l
զգուշացնել	z ɡ u ʃ ɑ t ͡ s ʰ ˈ n e l
զգուշացում	z ɡ u ʃ ɑ ˈ t ͡ s ʰ u m
զեբր	ˈ z e b ə ɾ
զեխ	z e χ
զեկույց	z e ˈ k u j t ͡ s ʰ
զեղել	z e ˈ ʁ e l
զեղխ	z e χ χ
զեղծել	z e χ ˈ t ͡ s e l
զեղչ	z e χ t ͡ ʃ ʰ
զեղչել	z e χ ˈ t ͡ ʃ ʰ e l
զեղջ	z e ʁ d ͡ ʒ
զեղում	z e ˈ ʁ u m
զեղուն	z e ˈ ʁ u n
Զեմպերեկճյան	z e m p e ɾ e k ˈ t ͡ ʃ j ɑ n
Զեմպերեքճյան	z e m p e ɾ e k ʰ ˈ t ͡ ʃ j ɑ n
Զեմֆիրա	z e m f i ˈ ɾ ɑ
զեյթուն	z e j ˈ t ʰ u n
Զեյնալյան	z e j n ɑ ˈ l j ɑ n
զենդերեն	z e n d e ˈ ɾ e n
զենել	z e ˈ n e l
զենիթ	z e ˈ n i t ʰ
Զենճիրճյան	z e n t ͡ ʃ i ɾ ˈ t ͡ ʃ j ɑ n
Զենոն	z e ˈ n o n
Զենջիրջյան	z e n d ͡ ʒ i ɾ ˈ d ͡ ʒ j ɑ n
զենք	z e n k ʰ
զեպտո-	z e p ˈ t o
զեռալ	z e ˈ r ɑ l
զեռուն	z e ˈ r u n
Զևս	z e f s
Զևքսիս	z e f k ʰ ˈ s i s
զետեղել	z e t e ˈ ʁ e l
զետտա-	z e t ˈ t ɑ
զերդ	z e ɾ t ʰ
զերե	z e ˈ ɾ e
զերծ	z e ɾ t ͡ s
զեփյուռ	z e ˈ p ʰ j u r
Զեփյուռ	z e ˈ p ʰ j u r
զզվանք	z ə z ˈ v ɑ n k ʰ
զզվել	z ə z ˈ v e l
զզվելի	z ə z v e ˈ l i
զիբիլ	z i ˈ b i l
զիբիլանոց	z i b i l ɑ ˈ n o t ͡ s ʰ
զիբիլի	z i b i ˈ l i
զիբիլի աման	z i b i ˈ l i   ɑ ˈ m ɑ n
զիբիլի յաշիկ	z i b i ˈ l i   j ɑ ˈ ʃ i k
զիբիլի վեդրո	z i b i ˈ l i   v e d ˈ ɾ o
զիգզագ	z i ɡ ˈ z ɑ ɡ
զիզի	z i ˈ z i
Զիլճյան	z i l ˈ t ͡ ʃ j ɑ n
զիճել	z i ˈ t ͡ ʃ e l
Զիմբաբվե	z i m b ɑ b ˈ v e
զինադադար	z i n ɑ d ɑ ˈ t ʰ ɑ ɾ
զինադուլ	z i n ɑ ˈ d u l
զինաթափություն	z i n ɑ t ʰ ɑ p ʰ u ˈ t ʰ j u n
զինամթերք	z i n ɑ m ə ˈ t ʰ e ɾ k ʰ
զինանշան	z i n ɑ n ə ˈ ʃ ɑ n
զինանոց	z i n ɑ ˈ n o t ͡ s ʰ
զինել	z i ˈ n e l
զինծառայող	z i n t ͡ s ɑ r ɑ ˈ j o ʁ
զինկոմիսարիատ	z i n k o m i s ɑ ɾ i ˈ ɑ t
Զինճիրճյան	z i n t ͡ ʃ i ɾ ˈ t ͡ ʃ j ɑ n
Զինջիրջյան	z i n d ͡ ʒ i ɾ ˈ d ͡ ʒ j ɑ n
զինված	z i n ˈ v ɑ t ͡ s
զինված ուժեր	z i n ˈ v ɑ t ͡ s   u ˈ ʒ e ɾ
զինվել	z i n ˈ v e l
զինվոր	z i n ˈ v o ɾ
զինվորական	z i n v o ɾ ɑ ˈ k ɑ n
զինվորական կոմիսարիատ	z i n v o ɾ ɑ ˈ k ɑ n   k o m i s ɑ ɾ i ˈ ɑ t
զինվորականություն	z i n v o ɾ ɑ k ɑ n u ˈ t ʰ j u n
զինուժ	z i ˈ n u ʒ
զիջել	z i ˈ t ͡ ʃ ʰ e l
զիջում	z i ˈ t ͡ ʃ ʰ u m
զիստ	z i s t
ԶԼՄ	z ə l ə ˈ m ə
զխկտել	z ə χ k ə ˈ t e l
զկեռ	z ə ˈ k e r
զղջալ	z ə χ ˈ t ͡ ʃ ʰ ɑ l
զղջում	z ə χ ˈ t ͡ ʃ ʰ u m
Զմյուռնիա	ˈ z m j u r n i ˈ ɑ
զմռնենի	z ə m ə r n e ˈ n i
զմռնիտ	z ə m ə r ˈ n i t
զմրութ	z ə m ˈ ɾ u t ʰ
զմրուխտ	z ə m ˈ ɾ u χ t
զմրուխտյա	z ə m ɾ u χ ˈ t j ɑ
զնդան	z ə n ˈ d ɑ n
զնճիլ	z ə n ˈ t ͡ ʃ i l
զննել	z ə n ˈ n e l
զննող	z ə n ˈ n o ʁ
զնջիլ	z ə n ˈ d ͡ ʒ i l
զոբ	z o b
զոդ	z o d
զոդել	z o ˈ d e l
զոդող	z o ˈ d o ʁ
զոդում	z o ˈ d u m
զոհ	z o h
զոհասեղան	z o h ɑ s e ˈ ʁ ɑ n
զոհել	z o ˈ h e l
զոհվել	z o h ˈ v e l
Զոհրաբ	z o h ˈ ɾ ɑ b
զողալ	z o ˈ ʁ ɑ l
զոմբի	z o m ˈ b i
Զոյա	ˈ z o j ɑ
զոնա	z o ˈ n ɑ
Զոնդյան նեղուց	z o n ˈ d j ɑ n   n e ˈ ʁ u t ͡ s ʰ
զոնծիկ	z o n ˈ t ͡ s i k
զոնտիկ	z o n ˈ t i k
զոշաքաղություն	z o ʃ ɑ k ʰ ɑ ʁ u ˈ t ʰ j u n
զոոխորիա	z o o χ o ɾ i ˈ ɑ
զոռ	z o r
զոռով	z o ˈ r o v
զով	z o v
զոր	z o ɾ
Զորաբաբել	z o ɾ ɑ b ɑ ˈ b e l
զորագունդ	z o ɾ ɑ ˈ ɡ u n d
զորախումբ	z o ɾ ɑ ˈ χ u m b
զորական	z o ɾ ɑ ˈ k ɑ n
զորակոչ	z o ɾ ɑ ˈ k o t ͡ ʃ ʰ
զորակոչիկ	z o ɾ ɑ k o ˈ t ͡ ʃ ʰ i k
զորահավաք	z o ɾ ɑ h ɑ ˈ v ɑ k ʰ
զորամաս	z o ɾ ɑ ˈ m ɑ s
զորանոց	z o ɾ ɑ ˈ n o t ͡ s ʰ
զորապետ	z o ɾ ɑ ˈ p e t
զորավար	z o ɾ ɑ ˈ v ɑ ɾ
զորավարժություն	z o ɾ ɑ v ɑ ɾ ʒ u ˈ t ʰ j u n
զորավոր	z o ɾ ɑ ˈ v o ɾ
զորեղ	z o ˈ ɾ e ʁ
Զորիկ	z o ˈ ɾ i k
զորություն	z o ɾ u ˈ t ʰ j u n
զորք	z o ɾ k ʰ
զոքանչ	z o ˈ k ʰ ɑ n t ͡ ʃ ʰ
զռլամա	z ə r l ɑ ˈ m ɑ
զսպանակ	z ə s p ɑ ˈ n ɑ k
զսպաշապիկ	z ə s p ɑ ʃ ɑ ˈ p i k
զսպել	z ə s ˈ p e l
զվարակ	z ə v ɑ ˈ ɾ ɑ k
զվարթ	z ə ˈ v ɑ ɾ t ʰ
Զվարթ	z ə ˈ v ɑ ɾ t ʰ
զվարճախոսել	z ə v ɑ ɾ t ͡ ʃ ɑ χ o ˈ s e l
զվարճանալ	z ə v ɑ ɾ t ͡ ʃ ɑ ˈ n ɑ l
զվարճանք	z ə v ɑ ɾ ˈ t ͡ ʃ ɑ n k ʰ
զվարճացնել	z ə v ɑ ɾ t ͡ ʃ ɑ t ͡ s ʰ ˈ n e l
զվարճություն	z ə v ɑ ɾ t ͡ ʃ u ˈ t ʰ j u n
զտարյուն	z ə t ɑ ˈ ɾ j u n
զտել	z ə ˈ t e l
Զրադաշտ	z ə ɾ ɑ ˈ d ɑ ʃ t
զրադաշտական	z ə ɾ ɑ d ɑ ʃ t ɑ ˈ k ɑ n
զրադաշտականություն	z ə ɾ ɑ d ɑ ʃ t ɑ k ɑ n u ˈ t ʰ j u n
զրահ	z ə ˈ ɾ ɑ h
զրահաբաճկոն	z ə ɾ ɑ h ɑ b ɑ t ͡ ʃ ˈ k o n
զրահագնացք	z ə ɾ ɑ h ɑ ɡ ə ˈ n ɑ t ͡ s ʰ k ʰ
զրահակիր	z ə ɾ ɑ h ɑ ˈ k i ɾ
զրահամորթ	z ə ɾ ɑ h ɑ ˈ m o ɾ t ʰ
զրահավոր	z ə ɾ ɑ h ɑ ˈ v o ɾ
զրիշկ	z ə ˈ ɾ i ʃ k
զրկել	z ə ɾ ˈ k e l
զրնգալ	z ə ɾ ə n ˈ ɡ ɑ l
զրո	z ə ˈ ɾ o
զրպարտություն	z ə ɾ p ɑ ɾ t u ˈ t ʰ j u n
զրույց	z ə ˈ ɾ u j t ͡ s ʰ
զրուցարան	z ə ɾ u t ͡ s ʰ ɑ ˈ ɾ ɑ n
զրուցել	z ə ɾ u ˈ t ͡ s ʰ e l
զուբրիտ	z u b ˈ ɾ i t
զուգաբարձ	z u ɡ ɑ ˈ b ɑ ɾ t ͡ s ʰ
զուգադիպություն	z u ɡ ɑ d i p u ˈ t ʰ j u n
զուգահեռ	z u ɡ ɑ ˈ h e r
զուգահեռագիծ	z u ɡ ɑ h e r ɑ ˈ ɡ i t ͡ s
զուգահեռանիստ	z u ɡ ɑ h e r ɑ ˈ n i s t
զուգաձայն	z u ɡ ɑ ˈ d ͡ z ɑ j n
զուգարան	z u k ʰ ɑ ˈ ɾ ɑ n
զուգարանի թուղթ	z u k ʰ ɑ ɾ ɑ ˈ n i   t ʰ u χ t ʰ
զուգել	z u ˈ k ʰ e l
զուգվել	z u k ʰ ˈ v e l
զութխի	z u t ʰ ˈ χ i
զուլու	ˈ z u l u
զուլում	z u ˈ l u m
զույգ	z u j k ʰ
զույգկետ	z u j ɡ ˈ k e t
զուռնա	z u r ˈ n ɑ
զուսպ	z u s p
զուտ	z u t
զուր	z u ɾ
զուրկ	z u ɾ k
Է	e
է	e
էակ	e ˈ ( j ) ɑ k
էական	e ( j ) ɑ ˈ k ɑ n
Էբերդին	e b e ɾ ˈ d i n
էգ	e k ʰ
էգուց	e ˈ k ʰ u t ͡ s ʰ
էդ	e d
Էդգար	e d ˈ ɡ ɑ ɾ
Էդեսսա	e d e s ˈ s ɑ
Էդմոն	e d ˈ m o n
Էդո	e ˈ d o
Էդվարդ	e d ˈ v ɑ ɾ t ʰ
Էդուլ	e ˈ d u l
Էդուլիկ	e d u ˈ l i k
էթալ	e ˈ t ʰ ɑ l
էթիկա	e t ʰ i ˈ k ɑ
էթնիկ	e t ʰ ˈ n i k
էժան	e ˈ ʒ ɑ n
էի	e ˈ ( j ) i
էին	e ˈ ( j ) i n
էինք	e ˈ i n k ʰ
էիր	e ˈ ( j ) i ɾ
էիք	e ˈ ( j ) i k ʰ
էլ	e l
Էլար	e ˈ l ɑ ɾ
Էլբակյան	e l b ɑ ˈ k j ɑ n
էլեկտրա-	e l e k t ˈ ɾ ɑ
էլեկտրակայան	e l e k t ɾ ɑ k ɑ ˈ j ɑ n
էլեկտրական	e l e k t ɾ ɑ ˈ k ɑ n
էլեկտրական լամպ	e l e k t ɾ ɑ ˈ k ɑ n   l ɑ m p
էլեկտրականություն	e l e k t ɾ ɑ k ɑ n u ˈ t ʰ j u n
էլեկտրամագնիսական փոխազդեցություն	e l e k t ɾ ɑ m ɑ ɡ n i s ɑ ˈ k ɑ n   p ʰ o χ ɑ z d e t ͡ s ʰ u ˈ t ʰ j u n
էլեկտրաշոկ	e l e k t ɾ ɑ ˈ ʃ o k
էլեկտրոդ	e l e k t ˈ ɾ o d
էլեկտրոլիզ	e l e k t ɾ o ˈ l i z
էլեկտրոն	e l e k t ˈ ɾ o n
էլեկտրոնային	e l e k t ɾ o n ɑ ˈ j i n
էլեկտրոնային հասցե	e l e k t ɾ o n ɑ ˈ j i n   h ɑ s ˈ t ͡ s ʰ e
էլեկտրոնային փոստ	e l e k t ɾ o n ɑ ˈ j i n   p ʰ o s t
էլեմենտ	e l e ˈ m e n t
էլեմենտար	e l e m e n ˈ t ɑ ɾ
Էլեն	e ˈ l e n
Էլեքճյան	e l e k ʰ ˈ t ͡ ʃ j ɑ n
Էլզաս	e l ˈ z ɑ s
էլզասցի	e l z ɑ s ˈ t ͡ s ʰ i
էլի	e ˈ l i
էլիպս	e ˈ l i p s
Էլիստա	e l i s ˈ t ɑ
Էլչիբեյ	e l t ͡ ʃ ʰ i ˈ b e j
էծ	e t ͡ s
էկզոնիմ	e k z o ˈ n i m
էկոլոգիա	e k o l o ɡ i ˈ ɑ
էկող	e ˈ k o ʁ
էկոնոմիկա	e k o ˈ n o m i k ɑ
էկորճ	e ˈ k o ɾ t ͡ ʃ
էկսա-	e k ˈ s ɑ
Էկվադոր	e k v ɑ ˈ d o ɾ
էկրան	e k ˈ ɾ ɑ n
էղնել	e ʁ ˈ n e l
էմբարգո	e m ˈ b ɑ ɾ ɡ o
էմիգրանտ	e m i ɡ ˈ ɾ ɑ n t
Էմիլ	e ˈ m i l
Էմին	e ˈ m i n
էմիր	e ˈ m i ɾ
էմիրություն	e m i ɾ u ˈ t ʰ j u n
էմիրություններ	e m i ɾ u t ʰ j u n ˈ n e ɾ
էմոցիա	e ˈ m o t ͡ s ʰ i ɑ
Էմպեդոկլես	e m p e d o k ˈ l e s
Էյերճյան	e j e ɾ ˈ t ͡ ʃ j ɑ n
էյնշտեյնիում	e j n ʃ t e j n i ˈ j u m
էն	e n
Էնգելս	ˈ e n ɡ e l s
էներգիա	e n e ɾ ɡ i ˈ ɑ
էնի	e ˈ n i
էնցեֆալիտ	e n t ͡ s ʰ e f ɑ ˈ l i t
Էնֆիաջյան	e n f i j ɑ ˈ d ͡ ʒ j ɑ n
Էնֆիեճյան	e n f i j e ˈ t ͡ ʃ j ɑ n
էշ	e ʃ
էշայծյամ	e ʃ ɑ j ˈ t ͡ s j ɑ m
էպիկենտրոն	e p i k e n t ˈ ɾ o n
Էպիկուր	e p i ˈ k u ɾ
Էպիրոս	e p i ˈ ɾ o s
էպոս	e ˈ p o s
էջ	e d ͡ ʒ
էջանիշ	e d ͡ ʒ ɑ ˈ n i ʃ
Էջմիածին	e t ͡ ʃ ʰ m i ɑ ˈ t ͡ s i n
էս	e s
էսի	e ˈ s i
էսկալատոր	e s k ɑ ˈ l ɑ t o ɾ
էսկալացիա	e s k ɑ ˈ l ɑ t ͡ s ʰ i ɑ
էսնաֆ	e s ˈ n ɑ f
էսպերանտո	e s p e ˈ ɾ ɑ n t o
էսսե	e s ˈ s e
էստոնական	e s t o n ɑ ˈ k ɑ n
էստոնացի	e s t o n ɑ ˈ t ͡ s ʰ i
էստոներեն	e s t o n e ˈ ɾ e n
Էստոնիա	e s ˈ t o n i ɑ
Էսքիլես	e s k ʰ i ˈ l e s
Էսքիլոս	e s k ʰ i ˈ l o s
էսօր	e ˈ s o ɾ
էվթանազիա	e f t ʰ ɑ ˈ n ɑ z i ɑ
էվոլյուցիա	e v o ˈ l j u t ͡ s ʰ i ɑ
էվոլյուցիոն	e v o l j u ˈ t ͡ s ʰ j o n
Էվրիպիդես	e v ɾ i p i ˈ d e s
էտ	e t
էտել	e ˈ t e l
էտի	e ˈ t i
էտրուսկ	e t ˈ ɾ u s k
էտրուսկերեն	e t ɾ u s k e ˈ ɾ e n
էտրուսկյան	e t ɾ u s ˈ k j ɑ n
էր	e ɾ
էրե	e ˈ ɾ e
Էրեբունի	e ɾ e b u ˈ n i
էրեխա	e ɾ e ˈ χ ɑ
էրեկ	e ˈ ɾ e k
էրեկցիա	e ɾ e k t ͡ s ʰ i ˈ ɑ
էրես	e ˈ ɾ e s
էրևալ	e ɾ e ˈ v ɑ l
Էրզրում	e ɾ z ə ˈ ɾ u m
Էրիկ	e ˈ ɾ i k
էրիկ	e ˈ ɾ i k
Էրիտրեա	e ɾ i t ˈ ɾ e ɑ
էրկաթ	e ɾ ˈ k ɑ t ʰ
էրկու	e ɾ ˈ k u
Էրոս	e ˈ ɾ o s
էության	e u ˈ t ʰ j ɑ n
էություն	e ( j ) u ˈ t ʰ j u n
Էքմեքջյան	e k ʰ m e k ʰ ˈ d ͡ ʒ j ɑ n
Էքսերճյան	e k ʰ s e ɾ ˈ t ͡ ʃ j ɑ n
Էքսերջյան	e k ʰ s e ɾ ˈ d ͡ ʒ j ɑ n
էքսկավատոր	e k ʰ s k ɑ ˈ v ɑ t o ɾ
էքսկլավ	e k ʰ s k ˈ l ɑ v
էքսկուրսիա	e k ʰ s k u ɾ s i ˈ ɑ
էքսպերիմենտալ	e k ʰ s p e ɾ i m e n ˈ t ɑ l
էքսպերտ	e k ʰ s ˈ p e ɾ t
էքստրեմիստ	e k ʰ s t ɾ e ˈ m i s t
էֆենդի	e f e n ˈ d i
-ը	ə
Ը	ə
ը	ə
ըթ	ə t ʰ
ըլնել	ə l ˈ n e l
ըղձալ	ə ʁ ˈ d ͡ z ɑ l
ըղձական	ə ʁ d ͡ z ɑ ˈ k ɑ n
ըղձական եղանակ	ə ʁ d ͡ z ɑ ˈ k ɑ n   j e ʁ ɑ ˈ n ɑ k
ըղրի	ə ʁ ˈ ɾ i
ըմբիշ	ə m ˈ b i ʃ
ըմբշամարտ	ə m b ʃ ɑ ˈ m ɑ ɾ t
ըմբշամարտություն	ə m p ʰ ʃ ɑ m ɑ ɾ t u ˈ t ʰ j u n
ըմբոշխնել	ə m b o ʃ χ ˈ n e l
ըմբոստ	ə m ˈ b o s t
ըմբռնել	ə m b ə r ˈ n e l
ըմպակ	ə m ˈ p ɑ k
ըմպանակ	ə m p ɑ ˈ n ɑ k
ըմպել	ə m ˈ p e l
ըմպելիք	ə m p e ˈ l i k ʰ
ընգնել	ə n ɡ ˈ n e l
ընդամենը	ə n t ʰ ɑ ˈ m e n ə
ընդավոր	ə n d ɑ ˈ v o ɾ
ընդարձակ	ə n t ʰ ɑ ɾ ˈ t ͡ s ʰ ɑ k
ընդարմանալ	ə n t ʰ ɑ ɾ m ɑ ˈ n ɑ l
ընդգծել	ə n d ɡ ə ˈ t ͡ s e l
ընդդեմ	ə n d ˈ d e m
ընդդիմություն	ə n d d i m u ˈ t ʰ j u n
ընդելուզել	ə n d e l u ˈ z e l
ընդեղեն	ə n d e ˈ ʁ e n
ընդեր	ə n ˈ d e ɾ
ընդերք	ə n ˈ d e ɾ k ʰ
ընդլայնել	ə n d l ɑ j ˈ n e l
ընդլայնում	ə n d l ɑ j ˈ n u m
ընդհանրական	ə n t ʰ h ɑ n ɾ ɑ ˈ k ɑ n
ընդհանրապես	ə n t ʰ h ɑ n ɾ ɑ ˈ p e s
ընդհանուր	ə n t ʰ h ɑ ˈ n u ɾ
ընդհատել	ə n t ʰ h ɑ ˈ t e l
ընդհատվել	ə n t ʰ h ɑ t ˈ v e l
ընդմիշտ	ə n d ˈ m i ʃ t
ընդոծին	ə n d o ˈ t ͡ s i n
ընդոստել	ə n d o s ˈ t e l
ընդոստնել	ə n d o s t ˈ n e l
ընդվզում	ə n d v ə ˈ z u m
ընդունակ	ə n t ʰ u ˈ n ɑ k
ընդունակություն	ə n t ʰ u n ɑ k u ˈ t ʰ j u n
ընդունարան	ə n t ʰ u n ɑ ˈ ɾ ɑ n
ընդունել	ə n t ʰ u ˈ n e l
ընդունելի	ə n t ʰ u n e ˈ l i
ընդունված	ə n t ʰ u n ˈ v ɑ t ͡ s
ընդունվել	ə n t ʰ u n ˈ v e l
ընդունում	ə n t ʰ u ˈ n u m
ընդօրինակել	ə n t ʰ o ɾ i n ɑ ˈ k e l
ընթադրել	ə n t ʰ ɑ d ( ə ) ˈ ɾ e l
ընթածիր	ə n t ʰ ɑ ˈ t ͡ s i ɾ
ընթանալ	ə n t ʰ ɑ ˈ n ɑ l
ընթաց	ə n ˈ t ʰ ɑ t ͡ s ʰ
